app_exec_id,script_run_id,app__name,execution_site,start_time,duration,staging_in_duration,staging_out_duration,work_directory,file_id,host,name,size,modify,type
blast--280500412:fastasplitn-1nqfnc5m,blast--280500412,fastasplitn,local,35:12.3,0.105999947,0.018000126,0.007999897,blast-run001/jobs/f/fastasplitn-1nqfnc5m,,,,,,App
blast--280500412:formatdb-3nqfnc5m,blast--280500412,formatdb,local,35:12.4,0.114000082,0.000999928,0.003999949,blast-run001/jobs/f/formatdb-3nqfnc5m,,,,,,App
blast--280500412:formatdb-2nqfnc5m,blast--280500412,formatdb,local,35:12.4,0.114000082,0.000999928,0.003999949,blast-run001/jobs/f/formatdb-2nqfnc5m,,,,,,App
blast--280500412:formatdb-4nqfnc5m,blast--280500412,formatdb,local,35:12.5,0.159000158,0.000999928,0.006000042,blast-run001/jobs/f/formatdb-4nqfnc5m,,,,,,App
blast--280500412:formatdb-7nqfnc5m,blast--280500412,formatdb,local,35:12.5,0.157999992,0.000999928,0.005000114,blast-run001/jobs/f/formatdb-7nqfnc5m,,,,,,App
blast--280500412:formatdb-5nqfnc5m,blast--280500412,formatdb,local,35:12.7,0.114000082,0.000999928,0.004999876,blast-run001/jobs/f/formatdb-5nqfnc5m,,,,,,App
blast--280500412:formatdb-9nqfnc5m,blast--280500412,formatdb,local,35:12.7,0.11500001,0.000999928,0.005000114,blast-run001/jobs/f/formatdb-9nqfnc5m,,,,,,App
blast--280500412:formatdb-8nqfnc5m,blast--280500412,formatdb,local,35:12.8,0.120999813,0.002000093,0.006000042,blast-run001/jobs/f/formatdb-8nqfnc5m,,,,,,App
blast--280500412:formatdb-6nqfnc5m,blast--280500412,formatdb,local,35:12.8,0.118999958,0.000999928,0.005000114,blast-run001/jobs/f/formatdb-6nqfnc5m,,,,,,App
blast--280500412:blastall-anqfnc5m,blast--280500412,blastall,local,35:12.9,0.153000116,0.003000021,0.003000021,blast-run001/jobs/b/blastall-anqfnc5m,,,,,,App
blast--280500412:blastall-bnqfnc5m,blast--280500412,blastall,local,35:12.9,0.131999969,0.000999928,0.003000021,blast-run001/jobs/b/blastall-bnqfnc5m,,,,,,App
blast--280500412:blastall-cnqfnc5m,blast--280500412,blastall,local,35:13.1,0.17599988,0.000999928,0.003000021,blast-run001/jobs/b/blastall-cnqfnc5m,,,,,,App
blast--280500412:blastall-dnqfnc5m,blast--280500412,blastall,local,35:13.2,0.15899992,0.000999928,0.004000187,blast-run001/jobs/b/blastall-dnqfnc5m,,,,,,App
blast--280500412:blastall-enqfnc5m,blast--280500412,blastall,local,35:13.3,0.197999954,0.002000093,0.003000021,blast-run001/jobs/b/blastall-enqfnc5m,,,,,,App
blast--280500412:blastall-fnqfnc5m,blast--280500412,blastall,local,35:13.4,0.154999971,0.002000093,0.003000021,blast-run001/jobs/b/blastall-fnqfnc5m,,,,,,App
blast--280500412:blastall-gnqfnc5m,blast--280500412,blastall,local,35:13.6,0.112999916,0.002000093,0.002999783,blast-run001/jobs/b/blastall-gnqfnc5m,,,,,,App
blast--280500412:blastall-hnqfnc5m,blast--280500412,blastall,local,35:13.7,0.154999971,0.000999928,0.002999783,blast-run001/jobs/b/blastall-hnqfnc5m,,,,,,App
blast--280500412:blastmerge-inqfnc5m,blast--280500412,blastmerge,local,35:13.8,0.092000008,0.000999928,0.003000021,blast-run001/jobs/b/blastmerge-inqfnc5m,,,,,,App
,,,,,,,,,quaternion.local:testeDB:3472386:1418414895.0,quaternion.local,testeDB,3472386,1418414895,File
,,,,,,,,,quaternion.local:frag002:431845:1425321312.0,quaternion.local,frag002,431845,1425321312,File
,,,,,,,,,quaternion.local:frag003:432596:1425321312.0,quaternion.local,frag003,432596,1425321312,File
,,,,,,,,,quaternion.local:frag001:454231:1425321312.0,quaternion.local,frag001,454231,1425321312,File
,,,,,,,,,quaternion.local:frag007:429381:1425321312.0,quaternion.local,frag007,429381,1425321312,File
,,,,,,,,,quaternion.local:frag008:429560:1425321312.0,quaternion.local,frag008,429560,1425321312,File
,,,,,,,,,quaternion.local:frag006:429959:1425321312.0,quaternion.local,frag006,429959,1425321312,File
,,,,,,,,,quaternion.local:frag004:440420:1425321312.0,quaternion.local,frag004,440420,1425321312,File
,,,,,,,,,quaternion.local:frag005:424394:1425321312.0,quaternion.local,frag005,424394,1425321312,File
,,,,,,,,,quaternion.local:frag002.pin:6112:1425321312.0,quaternion.local,frag002.pin,6112,1425321312,File
,,,,,,,,,quaternion.local:frag002.psq:350164:1425321312.0,quaternion.local,frag002.psq,350164,1425321312,File
,,,,,,,,,quaternion.local:frag002.phr:124428:1425321312.0,quaternion.local,frag002.phr,124428,1425321312,File
